author_full_name,country,university
"HEPPELER, JOHANNA",USA,LEYDEN COMMUNITY HIGH SCH
"MANDERINO, MICHAEL",USA,NORTHERN ILLINOIS UNIV
"LI, ANG",BEIJING FORESTRY UNIV,"UNIV NEW SOUTH WALES, BLACK DOG INST, SYDNEY, NSW, AUSTRALIA"
"HUANG, XIAOXIAO",CHINA,CHINESE ACAD SCI
"ZHU, TINGSHAO",CHINA,CHINESE ACAD SCI
"JIAO, DONGDONG",CHINA,NATL COMP SYST ENGN RES INST CHINA
"O'DEA, BRIDIANNE",AUSTRALIA,UNIV NEW SOUTH WALES
"CHRISTENSEN, HELEN",UNIV NEW SOUTH WALES,"UNIV NEW SOUTH WALES, BLACK DOG INST, RANDWICK, NSW, AUSTRALIA"
"JAYACHANDRAN, JESNA",INDIA,GURU NANAK DEV UNIV
"JANG, S. MO",USA,UNIV SOUTH CAROLINA
"KIM, JOON K.",USA,UNIV SOUTH CAROLINA
"CAN, BILGE",TURKEY,PAMUKKALE UNIV
"AUSTIN, ERICA WEINTRAUB","WASHINGTON STATE UNIV, EDWARD R MURROW COLL COMMUN, MURROW CTR MEDIA & HLTH PROMOT RES, COMMUN ADDIT 101,MS 642520, PULLMAN, WA 99164 USA","WASHINGTON STATE UNIV, OFF PROVOST & EXECUT VICE PRESIDENT, FRENCH ADM BLDG 436,MAIL CODE 1046, PULLMAN, WA 99164 USA"
"AUSTIN, BRUCE W.","WASHINGTON STATE UNIV, COLL EDUC, PULLMAN, WA 99164 USA","WASHINGTON STATE UNIV, EDUC PSYCHOL, COMMUN ADDIT 101,MS 642520, PULLMAN, WA 99164 USA"
"FRENCH, BRIAN F.",USA,WASHINGTON STATE UNIV
"COHEN, MARILYN A.",USA,UNIV WASHINGTON
"WIJAYANI, ISNA",INDONESIA,UNIV BINA DARMA
PRIYONO,INDONESIA,UNIV BINA DARMA
"TOROK, MICHELLE",AUSTRALIA,UNIV NEW SOUTH WALES
"SHAND, FIONA",AUSTRALIA,UNIV NEW SOUTH WALES
"CALEAR, ALISON",AUSTRALIA,AUSTRALIAN NATL UNIV
"CESPEDES VENTURA, RAUL",SPAIN,UNIV MURCIA
"RAMAZZINA GHIRARDI, ANA LUIZA",BRAZIL,UNIV FED SAO PAULO
"BARBOSA, JACQUELINE PEIXOTO",BRAZIL,UNIV ESTADUAL CAMPINAS
"DE OLIVEIRA SIMOES, PEDRO HENRIQUE",BRAZIL,UNIV ESTADUAL CAMPINAS
"WENINGER, CSILLA",NANYANG TECHNOL UNIV,"NANYANG TECHNOL UNIV, NATL INST EDUC, SINGAPORE, SINGAPORE"
"HU, GUANGWEI",SINGAPORE,NANYANG TECHNOL UNIV
"CHOO, SUZANNE S.",SINGAPORE,NANYANG TECHNOL UNIV
"AL-ISSA, AHMAD",EMIRATES,AMER UNIV SHARJAH
"BIGELOW, MARTHA",USA,UNIV MINNESOTA
"VANEK, JENIFER",USA,UNIV MINNESOTA
"KING, KENDALL",USA,UNIV MINNESOTA
"ABDI, NIMO",USA,UNIV MINNESOTA
"SCULL, TRACY M.",INNOVAT RES & TRAINING,"INNOVAT RES & TRAINING, DURHAM, NC 27707 USA"
"KUPERSMIDT, JANIS B.",INNOVAT RES & TRAINING,"INNOVAT RES & TRAINING, DURHAM, NC 27707 USA"
"WEATHERHOLT, TARA N.",USA,RTI INT
"MARAVER-LOPEZ, PABLO","UNIV HUELVA, HUELVA, SPAIN","GRP INVEST AGORA HUM 648, NAVARRA, SPAIN"
"CALDEIRO-PEDREIRA, MARI-CARMEN","UNIV HUELVA, HUELVA, SPAIN","ADVISORY BOARD, NAVARRA, SPAIN"
"PEREZ-LISBOA, SANDRA",MEXICO,UNIV PLAYA ANCHA
"TREJO-QUINTANA, JANNETH",MEXICO,INST INVEST SOCIALES
"RODRIGUEZ-LOPEZ, JENNIFER",SPAIN,UNIV HUELVA
"WADE, TRACEY D.","FLINDERS UNIV S AUSTRALIA, SCH PSYCHOL, ADELAIDE, SA 5001, AUSTRALIA","FLINDERS UNIV S AUSTRALIA, SCH PSYCHOL, ADELAIDE, SA 5001, AUSTRALIA"
"WILKSCH, SIMON M.","FLINDERS UNIV S AUSTRALIA, SCH PSYCHOL, ADELAIDE, SA 5001, AUSTRALIA","FLINDERS UNIV S AUSTRALIA, SCH PSYCHOL, ADELAIDE, SA 5001, AUSTRALIA"
"PAXTON, SUSAN J.","LA TROBE UNIV, SCH PSYCHOL & PUBL HLTH, MELBOURNE, VIC 3086, AUSTRALIA","LA TROBE UNIV, SCH PSYCHOL & PUBL HLTH, MELBOURNE, VIC, AUSTRALIA"
"BYRNE, SUSAN M.",AUSTRALIA,UNIV WESTERN AUSTRALIA
"AUSTIN, S. BRYN",BOSTON CHILDRENS HOSP,"HARVARD TH CHAN SCH PUBL HLTH, DEPT SOCIAL & BEHAV SCI, BOSTON, MA USA"
"MCLEAN, SIAN A.","LA TROBE UNIV, SCH PSYCHOL & PUBL HLTH, MELBOURNE, VIC 3086, AUSTRALIA","VICTORIA UNIV, COLL HLTH & BIOMED, MELBOURNE, VIC, AUSTRALIA"
"WERTHEIM, ELEANOR H.","LA TROBE UNIV, SCH PSYCHOL & PUBL HLTH, MELBOURNE, VIC 3086, AUSTRALIA","LA TROBE UNIV, SCH PSYCHOL & PUBL HLTH, MELBOURNE, VIC 3086, AUSTRALIA"
"MASTERS, JENNIFER",AUSTRALIA,UNIV TASMANIA
"WATERS, STEWART",USA,UNIV TENNESSEE
"KNIBBE, MARE",MAASTRICHT UNIV,"MAASTRICHT UNIV, SCH PUBL HLTH & PRIMARY CARE CAPHRI, FAC HLTH MED & LIFE SCI, DEPT INEQUAL PARTICIPAT GLOBALISAT IPG,PUBL HLTH, DEBYEPL 1,ROOM B2-111,POB 616, NL-6200 MD MAASTRICHT, NETHERLANDS"
"DE VRIES, MARTEN",NETHERLANDS,MAASTRICHT UNIV
"LUCIDI, FABIO",ITALY,SAPIENZA UNIV ROME
"CHIRICO, ANDREA",ITALY,SAPIENZA UNIV ROME
"GALLI, FEDERICA",ITALY,SAPIENZA UNIV ROME
"MALLIA, LUCA",ITALY,UNIV ROME FORO ITALICO
"ZELLI, ARNALDO",ITALY,UNIV ROME FORO ITALICO
"ALIVERNINI, FABIO",ITALY,NATL INST EVALUAT EDUC SYST
"MANGANELLI, SARA",ITALY,NATL INST EVALUAT EDUC SYST
"BIASI, VALERIA",ITALY,ROMA TRE UNIV
"REY, JUAN",ECUADOR,UNIV GUAYAQUIL
"HERNANDEZ-SANTAOLALLA, VICTOR",ECUADOR,UNIV GUAYAQUIL
"SILVA-VERA, FRANCISCO",ECUADOR,UNIV GUAYAQUIL
"MEANDRO-FRAILE, EVA",ECUADOR,UNIV GUAYAQUIL
"KELLY, COURTNEY",USA,MANHATTANVILLE COLL
"BROWER, CARLEIGH",USA,MANHATTANVILLE COLL
"PETRANOVA, DANA",SLOVAKIA,UNIV SS CYRIL & METHODIUS
"HOSSOVA, MONIKA",SLOVAKIA,UNIV SS CYRIL & METHODIUS
