"id","doi","title","year_published","volume","abstract","authors_keywords","document_type","publication_type","language","reprint_address","issn","eissn","source_abbreviation_29_character","iso_source_abbreviation","publication_date","issue","beginning_page","ending_page","page_count","web_of_science_categories","research_areas","document_delivery_number","accession_number","keyword_plus","open_access_indicator","pudmed_id","special_issue","book_series_title","meeting_abstract","editors","funding_agency_grant_number","id_conference","id_journal"
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","10.1002/JAAL.726","CRITICAL MEDIA LITERACY IN THE DISCIPLINES: USING 13TH TO SUPPORT HISTORICAL ARGUMENTATION",2018,"61","THIS DEPARTMENT COLUMN EXPLORES DIGITAL AND DISCIPLINARY LITERACIES ACROSS LEARNING CONTEXTS AND DISCIPLINES WITHIN AND OUTSIDE OF SCHOOL. DIGITAL ENHANCEMENTS WILL ENCOURAGE READERS TO POST QUESTIONS, COMMENTS, AND CONNECTIONS.","CONTENT LITERACY; DIGITAL; MEDIA LITERACIES; DOMAIN KNOWLEDGE < CONTENT;   LITERACY; CRITICAL ANALYSIS < DIGITAL; MEDIA LITERACIES; 4-ADOLESCENCE","ARTICLE","J","ENGLISH","HEPPELER, J (REPRINT AUTHOR), LEYDEN COMMUNITY HIGH SCH, DIST 212, FRANKLIN PK, IL 60131 USA.","1081-3004","1936-2706","J ADOLESC ADULT LIT","J. ADOLESC. ADULT LIT.","MAR-APR","5","567","571","5","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","FX4SG","ISI000426067800010",NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF ADOLESCENT & ADULT LITERACY"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","10.1111/APPY.12314","AN ANALYSIS OF STIGMA AND SUICIDE LITERACY IN RESPONSES TO SUICIDES BROADCAST ON SOCIAL MEDIA",2018,"10","INTRODUCTIONBROADCASTING A SUICIDE ATTEMPT ON SOCIAL MEDIA HAS BECOME A PUBLIC CONCERN IN CHINA. STIGMATIZING ATTITUDES AROUND SUCH BROADCAST CAN LIMIT HELP-SEEKING AND INCREASE THE LIKELIHOOD OF DEATH. TO REDUCE STIGMATIZING ATTITUDES, THIS PAPER AIMS TO DETECT STIGMA EXPRESSIONS IN SOCIAL MEDIA POSTS THROUGH LANGUAGE USE PATTERNS AND THEN IDENTIFY SUICIDE LITERACY IN RESPONSES TO SUCH BROADCAST. METHODSFIRSTLY, TO EXAMINE LINGUISTIC PATTERNS OF STIGMA EXPRESSIONS, 6632 WEIBO POSTS WITH KEYWORDS WERE COLLECTED AND ANALYZED. USING 102 LINGUISTIC FEATURES, 2 CLASSIFICATION MODELS WERE BUILT: ONE FOR DIFFERENTIATING BETWEEN STIGMATIZING AND NONSTIGMATIZING ATTITUDES, AND ONE FOR DIFFERENTIATING BETWEEN SPECIFIC TYPES OF STIGMATIZING ATTITUDES. SECONDLY, TO IDENTIFY THE LEVELS OF SUICIDE LITERACY, A CONTENT ANALYSIS WAS CONDUCTED ON 4969 WEIBO POSTS RELATED TO SOCIAL MEDIA SUICIDE. RESULTSFIRSTLY, THE MODEL ACCURACY RANGED FROM 66.15% TO 72.79%. SECONDLY, A TOTAL OF 11.67% OF THE WEIBO POSTS (N=580) CONTAINED MISINFORMATION ABOUT SUICIDE. IN THE CATEGORY OF KNOWLEDGE OF SIGNS, 27.93% AND 18.10% OF POSTS ENDORSED THE STIGMATIZING VIEWS THAT SUICIDE HAPPENS WITHOUT WARNING AND PEOPLE WHO WANT TO ATTEMPT SUICIDE CANNOT CHANGE THEIR MIND QUICKLY, BOTH OF WHICH WERE RELATED TO A STIGMATIZING BELIEF THAT A SUICIDE ATTEMPT ON SOCIAL MEDIA IS NOT GENUINE. IN THE CATEGORY OF KNOWLEDGE OF TREATMENTS, 35.17% OF POSTS ENDORSED THE STIGMATIZING VIEW THAT PEOPLE WHO HAVE THOUGHTS ABOUT SUICIDE SHOULD NOT TELL OTHERS ABOUT IT. DISCUSSIONTHIS PAPER PRESENTS AN OPPORTUNITY FOR THE DISSEMINATION OF TARGETED ONLINE CAMPAIGNS TO INCREASE MENTAL HEALTH LITERACY AND HELP-SEEKING.","LINGUISTICS; LITERACY; SOCIAL MEDIA; STIGMA; SUICIDE","ARTICLE","J","ENGLISH","LI, A (REPRINT AUTHOR), BEIJING FORESTRY UNIV, DEPT PSYCHOL, BEIJING 100083, PEOPLES R CHINA.; ZHU, TS (REPRINT AUTHOR), CHINESE ACAD SCI, INST PSYCHOL, BEIJING 100101, PEOPLES R CHINA.","1758-5864","1758-5872","ASIA-PAC PSYCHIAT","ASIA-PAC. PSYCHIATRY","MAR","1",NA,NA,"8","PSYCHIATRY","PSYCHIATRY","FW8ZI","ISI000425625100009","MENTAL-HEALTH LITERACY; PUBLIC KNOWLEDGE; DISORDERS; BELIEFS; CHINESE;;   SUPPORT",NA,NA,NA,NA,NA,NA,"FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES [BLX2015-42]",NA,"ASIA-PACIFIC PSYCHIATRY"
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625","10.1177/0973258617743625","MEDIA LITERACY AND EDUCATION IN INDIA DURING TIMES OF COMMUNICATION ABUNDANCE",2018,"13","MEDIA LITERACY HAS BEEN A PERSISTENT, BUT UNDER-ENGAGED CONCERN IN INDIA DESPITE ITS MEDIA EXPLOSION. THIS COMMENTARY EXAMINES MEDIA LITERACY AGAINST VARIOUS DIMENSIONS LIKE THE PUBLIC SPHERE, MARKET, TECHNOLOGY AND ACCESS, CIVIL SOCIETY AND CITIZEN ACTIVISM TO IDENTIFY THE LIMITATIONS AND POSSIBILITIES. IN THE PROCESS, IT PROPOSES INCLUSIVE, MULTI-PRONGED CONTINUOUS APPROACHES TO BUILD CRITICAL AWARENESS, AUTONOMIES AND EMPOWERED ACTION.","MEDIA EDUCATION; EMPOWERMENT; PARTICIPATION; DEMOCRACY; ACTIVISM","ARTICLE","J","ENGLISH","JAYACHANDRAN, J (REPRINT AUTHOR), GURU NANAK DEV UNIV, DEPT SOCIOL, AMRITSAR 143005, PUNJAB, INDIA.","0973-2586","0973-2594","J CREAT COMMUN","J. CREAT. COMMUN.","MAR","1",NA,NA,"11","COMMUNICATION","COMMUNICATION","FV7JB","ISI000424758500005","JOURNALISM; DEMOCRACY",NA,NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF CREATIVE COMMUNICATIONS"
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034","10.1016/J.CHB.2017.11.034","THIRD PERSON EFFECTS OF FAKE NEWS: FAKE NEWS REGULATION AND MEDIA LITERACY INTERVENTIONS",2018,"80","ALTHOUGH THE ACTUAL EFFECT OF FAKE NEWS ONLINE ON VOTERS' DECISIONS IS STILL UNKNOWN, CONCERNS OVER THE PERCEIVED EFFECT OF FAKE NEWS ONLINE HAVE PREVAILED IN THE US AND OTHER COUNTRIES. BASED ON AN ANALYSIS OF SURVEY RESPONSES FROM NATIONAL SAMPLES (N = 1299) IN THE US, WE FOUND A STRONG TENDENCY OF THE THIRD PERSON PERCEPTION. THAT IS, INDIVIDUALS BELIEVED THAT FAKE NEWS WOULD HAVE GREATER EFFECTS ON OUT-GROUP MEMBERS THAN THEMSELVES OR IN-GROUP MEMBERS. ADDITIONALLY, WE PROPOSED A THEORETICAL PATH MODEL, IDENTIFYING THE ANTECEDENTS AND CONSEQUENCES OF THE THIRD-PERSON PERCEPTION. THE RESULTS SHOWED THAT PARTISAN IDENTITY, SOCIAL UNDESIRABILITY OF CONTENT, AND EXTERNAL POLITICAL EFFICACY WERE POSITIVE PREDICTORS OF THE THIRD-PERSON PERCEPTION. INTERESTINGLY, OUR FINDINGS REVEALED THAT THIRD-PERSON PERCEPTION LED TO DIFFERENT WAYS OF COMBATING FAKE NEWS ONLINE. THOSE WITH A GREATER LEVEL OF THIRD-PERSON PERCEPTION WERE MORE LIKELY TO SUPPORT THE MEDIA LITERACY APPROACH BUT LESS LIKELY TO SUPPORT THE MEDIA REGULATION APPROACH. (C) 2017 ELSEVIER LTD. ALL RIGHTS RESERVED.","FAKE NEWS; THIRD-PERSON EFFECT; FAKE NEWS REGULATION; MEDIA LITERACY;;   PARTISAN IDENTITY","ARTICLE","J","ENGLISH","JANG, SM (REPRINT AUTHOR), UNIV SOUTH CAROLINA, SCH JOURNALISM & MASS COMMUN, 800 SUMTER ST,RM122, COLUMBIA, SC 29201 USA.","0747-5632","1873-7692","COMPUT HUM BEHAV","COMPUT. HUM. BEHAV.","MAR",NA,"295","302","8","PSYCHOLOGY, MULTIDISCIPLINARY; PSYCHOLOGY, EXPERIMENTAL","PSYCHOLOGY","FU2AH","ISI000423650100029","US PRESIDENTIAL-ELECTION; POLITICAL-PARTICIPATION; SOCIAL DISTANCE;;   DIFFERENTIAL IMPACT; TELEVISION VIOLENCE; NATIONAL ELECTION;;   SELF-EFFICACY; PERCEPTIONS; ONLINE; INTERNET",NA,NA,NA,NA,NA,NA,NA,NA,"COMPUTERS IN HUMAN BEHAVIOR"
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847","10.9779/PUJE847","DETERMINING EFFECT OF DIGITAL AND MEDIA ACTIVITIES ON MEDIA AND SCIENCE LITERACY OF MIDDLE-SCHOOL STUDENTS AND PARENTS",2018,NA,"THIS RESEARCH AIMS DETERMINING EFFECT OF DIGITAL AND MEDIA ACTIVITIES ON MEDIA AND SCIENCE LITERACY OF MIDDLE-SCHOOL STUDENTS AND PARENTS AND IDENTIFYING THE RELATIONSHIP BETWEEN THEM. QUASI-EXPERIMENTAL MODEL HAS BEEN USED BY WHICH PRETEST-POSTTEST STUDIES HAVE BEEN HELD ON ONE GROUP BY USING QUANTITATIVE DATA DURING RESEARCH. THE SAMPLE OF THE RESEARCH CONSISTS OF 60 STUDENTS AND 119 PARENTS WHO ATTEND A SCHOOL IN THE PROVINCE OF BURSA IN THE ACADEMIC YEAR OF 2013-2014. ACCORDING TO DATA ANALYSIS OBTAINED IN THE RESEARCH, THERE IS A SIGNIFICANT RELATION BETWEEN PRETESTS AND POSTTESTS ABOUT SCIENTIFIC LITERACY OF MIDDLE-SCHOOL STUDENTS AND PARENTS RELATING TO DIGITAL AND MEDIA ACTIVITIES. THERE IS A RELATION BETWEEN MEDIA AND SCIENTIFIC LITERACY OF STUDENTS AND MOTHERS AS PARENTS. THERE IS A DIFFERENCE BETWEEN THE APPLIED PISA AND TIMSS EXAMS AND THE STUDENTS' SCIENCE LITERACY. IN THE LIGHT OF THESE RESULTS, SOME SUGGESTION HAS BEEN OFFERED WITH REGARD TO FOCUSING ON THE IMPORTANCE OF 21ST CENTURY SKILLS AND LITERACY, DEVELOPING SCIENTIFIC AND MEDIA LITERACY LEVEL AND OBTAINING MORE COMPREHENSIVE RESULTS.","MEDIA LITERACY; SCIENTIFIC LITERACY; SCIENCE LESSON; DIGITAL AND MEDIA;   ACTIVITIES","ARTICLE","J","TURKISH","CAN, B (REPRINT AUTHOR), PAMUKKALE UNIV, EGITIM FAK, MATEMAT & FEN BILIMLERI BOLUMU, FEN BILIMLERI OGRETMENLIGI ANABILIM DALI, DENIZLI, TURKEY.","1301-0085","1309-0275","PAMUKKALE U EGIT FAK","PAMUKKALE UNIV. EGIT. FAK. DERG.","JAN","43","31","47","17","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","FX5NP","ISI000426126700003",NA,"GOLD",NA,NA,NA,NA,NA,NA,NA,"PAMUKKALE UNIVERSITESI EGITIM FAKULTESI DERGISI-PAMUKKALE UNIVERSITY;   JOURNAL OF EDUCATION"
"AUSTIN EW, 2018, J HEALTH COMMUN, V23, P190, DOI 10.1080/10810730.2018.1423649","10.1080/10810730.2018.1423649","THE EFFECTS OF A NUTRITION MEDIA LITERACY INTERVENTION ON PARENTS' AND YOUTHS' COMMUNICATION ABOUT FOOD",2018,"23","INTERVENTIONS ADDRESSING LINKS BETWEEN MEDIA EXPOSURE AND OBESITY RISK FOR SCHOOL-AGE YOUTH HAVE NOT EXPLICITLY ADDRESSED THE ROLE OF FAMILY COMMUNICATION ABOUT MEDIA. YOUTHS' INFLUENCE ATTEMPTS ON PARENTS TO PURCHASE ADVERTISED FOODS CAN CREATE CONFLICT AND NEGATIVELY AFFECT PARENTAL FOOD CHOICES. THIS STUDY TESTED WHETHER A FAMILY-BASED MEDIA LITERACY CURRICULUM IMPROVES PARENTS' MEDIA MANAGEMENT SKILLS AND DECREASES YOUTHS' SUSCEPTIBILITY TO APPEALING BUT UNREALISTIC FOOD MARKETING. A MATCHED-GROUP PRETEST/POSTTEST FIELD EXPERIMENT OF PARENT-YOUTH DYADS WITH CONTROL GROUP (N = 100 DYADS, YOUTH M = 11 YEARS OF AGE) TESTED THE SIX-SESSION CURRICULUM. HYPOTHESES WERE ANALYZED USING A BAYESIAN STRUCTURAL EQUATION MODEL. THE CURRICULUM INCREASED PARENTS' ACTIVE NEGATIVE MEDIATION TO FOSTER YOUTHS' CRITICAL THINKING ABOUT FOOD MARKETING, B* = 0.35, 95% CCI [0.17, 0.50], INCREASED PARENT EFFICACY FOR MAKING HEALTHY DIETARY CHANGES FOR THEIR FAMILIES, B* = 0.59, 95% CCI [0.41, 0.75], AND FOSTERED FAMILY DISCUSSION ABOUT NUTRITION LABELS (TOTAL EFFECT = 0.22). ADDITIONALLY, CUMULATIVE INFLUENCES OF PERCEIVED DESIRABILITY AND WISHFUL IDENTIFICATION ON YOUTHS' REQUESTS FOR MARKETED FOODS WERE REDUCED (TOTAL EFFECT = 0.04). MEDIA LITERACY EDUCATION CAN EMPOWER PARENTS AND IMPROVE YOUTHS' CRITICAL THINKING TO REDUCE EFFECTS OF FOOD MARKETING ON FAMILIES AND IMPROVE USE OF MEDIA TO OBTAIN NUTRITION INFORMATION.",NA,"ARTICLE","J","ENGLISH","AUSTIN, EW (REPRINT AUTHOR), WASHINGTON STATE UNIV, FRENCH ADM BLDG 436,MAIL CODE 1046, PULLMAN, WA 99164 USA.","1081-0730","1087-0415","J HEALTH COMMUN","J. HEALTH COMMUN.",NA,"2","190","199","10","COMMUNICATION; INFORMATION SCIENCE & LIBRARY SCIENCE","COMMUNICATION; INFORMATION SCIENCE & LIBRARY SCIENCE","FV7ZK","ISI000424804300007","SWEETENED BEVERAGE CONSUMPTION; ADVERTISING LITERACY; TELEVISION;;   CHILDREN; ALCOHOL; ADOLESCENTS; OBESITY; YOUNG; BEHAVIORS; EXPECTANCIES",NA,"29338585",NA,NA,NA,NA,"USDA NATIONAL INSTITUTE OF FOOD AND AGRICULTURE [2012-68001-19618]",NA,"JOURNAL OF HEALTH COMMUNICATION"
"WIJAYANI I, 2017, TURK ONLINE J DES AR, V7, P1379, DOI 10.7456/1070DSE/112","10.7456/1070DSE/112","BRIGHTENS MEDIA LITERACY FOR CHILDREN AND TEENS",2017,"7","THE PURPOSE OF WRITING THIS ARTICLE IS TO ENLIGHTEN THE MEDIA LITERACY FOR CHILDREN AND YOUTH. THE METHOD USED IN THIS RESEARCH IS: USING A QUALITATIVE APPROACH, WITH INFORMANTS FROM ACADEMICS, MEDIA WATCHERS, AND THE COMMUNITY. THE RESULTS OBTAINED FROM THIS ACTIVITY ARE: THE TRAINERS HAVE AWARENESS OF THE IMPORTANCE OF THE REALIZATION OF MEDIA LITERACY IMPLEMENTATION UNDERSTANDING THE SUBSTANCE OF MEDIA LITERACY ABLE TO MOTIVATE AND EDUCATE THE COMMUNITY TO PARTICIPATE IN CREATING HEALTHY AND DIGNIFIED BROADCASTERS.","BRIGHTEN; MEDIA LITERACY; CHILDREN AND TEENS","ARTICLE","J","ENGLISH","PRIYONO (REPRINT AUTHOR), UNIV BINA DARMA, PALEMBANG, INDONESIA.","2146-5193",NA,"TURK ONLINE J DES AR","TURK. ONLINE J. DES. ART COMMUN.","DEC",NA,"1379","1384","6","ART","ART","FW4QI","ISI000425298300012","AGGRESSION",NA,NA,NA,NA,NA,NA,NA,NA,"TURKISH ONLINE JOURNAL OF DESIGN ART AND COMMUNICATION"
"TOROK M, 2017, SUICIDE LIFE-THREAT, V47, P672, DOI 10.1111/SLTB.12324","10.1111/SLTB.12324","A SYSTEMATIC REVIEW OF MASS MEDIA CAMPAIGNS FOR SUICIDE PREVENTION: UNDERSTANDING THEIR EFFICACY AND THE MECHANISMS NEEDED FOR SUCCESSFUL BEHAVIORAL AND LITERACY CHANGE",2017,"47","MASS MEDIA CAMPAIGNS ARE INCREASINGLY SEEN AS AN IMPORTANT PART OF SUICIDE PREVENTION HOWEVER, DESPITE THEIR POPULARITY, THEIR EFFICACY IS NOT WELL UNDERSTOOD. THE CURRENT REVIEW AIMED TO ADDRESS KEY KNOWLEDGE GAPS REGARDING HOW MASS MEDIA CAMPAIGNS CAN BE OPTIMIZED TO PREVENT SUICIDE, BY LOOKING AT THEIR GLOBAL EFFICACY, AND MECHANISMS RELATED TO SUCCESSFUL OUTCOMES. A SYSTEMATIC REVIEW OF THE INTERNATIONAL LITERATURE EXAMINED STUDIES WHICH EVALUATED MASS MEDIA CAMPAIGNS TARGETED AT SUICIDE PREVENTION, WHERE SUICIDE BEHAVIORS (MORTALITY, ATTEMPTS) OR SUICIDE LITERACY (KNOWLEDGE, ATTITUDES, HELP-SEEKING) WAS IDENTIFIED AS A PRIMARY OUTCOME. THIRTEEN ARTICLES DESCRIBING 12 UNIQUE CAMPAIGNS MET ELIGIBILITY CRITERIA. FOR BEHAVIORAL OUTCOMES, MASS MEDIA CAMPAIGNS APPEAR TO BE MOST EFFECTIVE WHEN DELIVERED AS PART OF A MULTICOMPONENT SUICIDE PREVENTION STRATEGY, WHILE STANDALONE CAMPAIGNS WERE MODESTLY USEFUL FOR INCREASING SUICIDE LITERACY. LEVEL OF EXPOSURE, REPEAT EXPOSURE, AND COMMUNITY ENGAGEMENT APPEARED TO BE FUNDAMENTAL TO THE SUCCESS OF THESE CAMPAIGNS HOWEVER, THESE CONSTRUCTS WERE POORLY ADHERED TO IN THE DEVELOPMENT AND IMPLEMENTATION OF CAMPAIGNS. OVERALL, THE MIXED QUALITY OF THE INCLUDED STUDIES HIGHLIGHTS A NEED FOR INCREASED QUANTITY, CONSISTENCY, AND QUALITY OF EVALUATIONS TO ADVANCE THE EVIDENCE BASE.",NA,"REVIEW","J","ENGLISH","TOROK, M (REPRINT AUTHOR), BLACK DOG INST, SYDNEY, NSW 2031, AUSTRALIA.","0363-0234","1943-278X","SUICIDE LIFE-THREAT","SUICIDE LIFE-THREAT. BEHAV.","DEC","6","672","687","16","PSYCHIATRY; PSYCHOLOGY, MULTIDISCIPLINARY","PSYCHIATRY; PSYCHOLOGY","FO9YZ","ISI000417256100003","PUBLIC-SERVICE ANNOUNCEMENTS; AWARENESS CAMPAIGNS; HELP-SEEKING;;   STRATEGIES; HEALTH; INTERVENTION; DEPRESSION; PROGRAMS; PEOPLE",NA,"28044354",NA,NA,NA,NA,NA,NA,"SUICIDE AND LIFE-THREATENING BEHAVIOR"
"VENTURA RC, 2017, EDUC SIGLO XXI, V35, P295",NA,"MEDIA LITERACY, ICT AND DIGITAL SKILLS",2017,"35",NA,NA,"BOOK REVIEW","J","SPANISH","VENTURA, RC (REPRINT AUTHOR), UNIV MURCIA, MURCIA, SPAIN.","1699-2105","1989-466X","EDUC SIGLO XXI","EDUCATIO SIGLO XXI","NOV","3","295","298","4","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","FT9YD","ISI000423507500016",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDUCATIO SIGLO XXI"
"GHIRARDI ALR, 2017, LINHA AGUA, V30, P51, DOI 10.11606/ISSN.2236-4242.V30I2P51-69","10.11606/ISSN.2236-4242.V30I2P51-69","LITERARY MULTIMODAL AND INTERMEDIA LITERACY: BUIDING A READER/SCRIPTOR OF NEW MEDIAS",2017,"30","THIS PAPER DESCRIBES AND DISCUSSES A COURSE FOR UNDERGRADUATE LANGUAGE STUDENTS (PORTUGUESE, PORTUGUESE-FRENCH, PORTUGUESE-ENGLISH, PORTUGUESE-SPANISH) HELD AT THE ESCOLA DE FILOSOFIA, LETRAS E CIENCIAS HUMANAS/UNIFESP, AT THE SECOND SEMESTRE OF 2015. THE GOAL OF THE COURSE, ENTITLED ""LITERARY ADAPTATION AND MULTIMODALITY"" WAS TO HELP STUDENTS UNDERSTAND, THROUGH THE ANALYSIS OF LITERARY ADAPTATIONS TO DIFFERENT MEDIA, THE KEY CONCEPTS IN MULTIMODALITY AND INTERMEDIA LITERACY. THE TEACHING STRATEGY ADOPTED WAS THAT OF INVITING THE STUDENT TO BECOME A AUTHOR/SCRIPTOR OF A MULDIMODAL INTERMEDIA TRANSPOSITION, RECONFIGURING THE TEXT OF WRITTEN LITERATURE (SOURCE MEDIA) INTO DIFFERENT MEDIA - FILM, COMICS, STOP-MOTION (SOURCE MEDIA).","TEACHING PRACTICES; MULDIMODALITY; INTERMEDIA LITERACY; LITERARY;   ADAPTATION; AUTHOR/SCRIPTOR","ARTICLE","J","PORTUGUESE","GHIRARDI, ALR (REPRINT AUTHOR), UNIV FED SAO PAULO, GUARULHOS, SP, BRAZIL.","0103-3638","2236-4242","LINHA AGUA","LINHA AGUA","OCT","2","51","69","19","LANGUAGE & LINGUISTICS","LINGUISTICS","FP1LS","ISI000417375100005",NA,"GOLD",NA,NA,NA,NA,NA,NA,NA,"LINHA D AGUA"
