id_paper,id_publisher
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726",WILEY
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314",WILEY
"JAYACHANDRAN J, 2018, J CREAT COMMUN, V13, DOI 10.1177/0973258617743625",SAGE PUBLICATIONS INC
"JANG SM, 2018, COMPUT HUM BEHAV, V80, P295, DOI 10.1016/J.CHB.2017.11.034",PERGAMON-ELSEVIER SCIENCE LTD
"CAN B, 2018, PAMUKKALE U EGIT FAK, P31, DOI 10.9779/PUJE847",PAMUKKALE UNIV
"AUSTIN EW, 2018, J HEALTH COMMUN, V23, P190, DOI 10.1080/10810730.2018.1423649",TAYLOR & FRANCIS INC
"WIJAYANI I, 2017, TURK ONLINE J DES AR, V7, P1379, DOI 10.7456/1070DSE/112",ISTANBUL KULTUR UNIV
"TOROK M, 2017, SUICIDE LIFE-THREAT, V47, P672, DOI 10.1111/SLTB.12324",WILEY
"VENTURA RC, 2017, EDUC SIGLO XXI, V35, P295",EDIT UM-EDICIONES UNIV MURCIA
"GHIRARDI ALR, 2017, LINHA AGUA, V30, P51, DOI 10.11606/ISSN.2236-4242.V30I2P51-69",UNIV SAO PAULO
"GHIRARDI ALR, 2017, LINHA AGUA, V30, P51, DOI 10.11606/ISSN.2236-4242.V30I2P51-69", FAC FILOSOFIA LETRAS & CIENCIAS HUMANAS
"BARBOSA JP, 2017, LINHA AGUA, V30, P71, DOI 10.11606/ISSN.2236-4242.V30I2P71-91",UNIV SAO PAULO
"BARBOSA JP, 2017, LINHA AGUA, V30, P71, DOI 10.11606/ISSN.2236-4242.V30I2P71-91", FAC FILOSOFIA LETRAS & CIENCIAS HUMANAS
"WENINGER C, 2017, TEACH TEACH EDUC, V67, P429, DOI 10.1016/J.TATE.2017.07.013",PERGAMON-ELSEVIER SCIENCE LTD
"AL-ISSA A, 2017, ARAB WORLD ENGL J, V8, P3, DOI 10.24093/AWEJ/VOL8NO3.1",ARAB WORLD ENGLISH JOURNAL
"BIGELOW M, 2017, INT J INTERCULT REL, V60, P183, DOI 10.1016/J.IJINTREL.2017.04.002",PERGAMON-ELSEVIER SCIENCE LTD
"SCULL TM, 2017, J COMMUNITY PSYCHOL, V45, P796, DOI 10.1002/JCOP.21893",WILEY
"MARAVER-LOPEZ P, 2017, UNIVERSITAS, P211, DOI 10.17163/UNI.N27.2017.10",UNIV POLITECNICA SALESIANA ECUADOR-SALESIAN POLYTECNIC UNIV
"TREJO-QUINTANA J, 2017, PIXEL-BIT, P227, DOI 10.12795/PIXELBIT.2017.I51.015",UNIV SEVILLA
"TREJO-QUINTANA J, 2017, PIXEL-BIT, P227, DOI 10.12795/PIXELBIT.2017.I51.015", EDITORIAL
"RODRIGUEZ-LOPEZ J, 2017, REV MEDITERR COMUN, V8, P161, DOI 10.14198/MEDCOM2017.8.2.11",UNIV ALICANTE
"WADE TD, 2017, INT J EAT DISORDER, V50, P731, DOI 10.1002/EAT.22689",WILEY
"MCLEAN SA, 2017, INT J EAT DISORDER, V50, P847, DOI 10.1002/EAT.22708",WILEY
"WATERS S, 2017, J ADOLESC ADULT LIT, V61, P109, DOI 10.1002/JAAL.644",WILEY
"KNIBBE M, 2017, J PUBLIC HEALTH-UK, V39, P353, DOI 10.1093/PUBMED/FDW036",OXFORD UNIV PRESS
"LUCIDI F, 2017, FRONT PSYCHOL, V8, DOI 10.3389/FPSYG.2017.00749",FRONTIERS MEDIA SA
"REY J, 2017, CONVERGENCIA, P187",UNIV AUTONOMA ESTADO MEXICO
"KELLY C, 2017, J ADOLESC ADULT LIT, V60, P655, DOI 10.1002/JAAL.614",WILEY
"PETRANOVA D, 2017, COMMUN TODAY, V8, P52",UNIV SS CYRIL & METHODIUS TRNAVA
"PETRANOVA D, 2017, COMMUN TODAY, V8, P52", FAC MASS MEDIA COMMUNICATION
"MORAVCIKOVA M, 2017, COMMUN TODAY, V8, P132",UNIV SS CYRIL & METHODIUS TRNAVA
"MORAVCIKOVA M, 2017, COMMUN TODAY, V8, P132", FAC MASS MEDIA COMMUNICATION
"FIGUERAS-MAZ M, 2017, CATAL J COMMU CUL ST, V9, P135, DOI 10.1386/CJCS.9.1.135_1",INTELLECT LTD
"MOEKOTTE P, 2017, EUR J RES EDUC LEARN, V8, P103, DOI 10.3384/RELA.2000-7426.RELA9115",LINKOEPING UNIV ELECTRONIC PRESS
"MIHAILIDIS P, 2017, AM BEHAV SCI, V61, P441, DOI 10.1177/0002764217701217",SAGE PUBLICATIONS INC
"ROTHONI A, 2017, LINGUIST EDUC, V38, P92, DOI 10.1016/J.LINGED.2017.03.001",ELSEVIER SCIENCE BV
"QUINTANAL F, 2017, J LEARN STYLES, V10, P106",UTAH VALLEY UNIV
"AIREY J, 2017, HIGH EDUC, V73, P561, DOI 10.1007/S10734-015-9950-2",SPRINGER
"TULLY M, 2017, J BROADCAST ELECTRON, V61, P144, DOI 10.1080/08838151.2016.1273923",ROUTLEDGE JOURNALS
"TULLY M, 2017, J BROADCAST ELECTRON, V61, P144, DOI 10.1080/08838151.2016.1273923", TAYLOR & FRANCIS LTD
"SAUNDERS JM, 2017, J ADOLESC ADULT LIT, V60, P515, DOI 10.1002/JAAL.617",WILEY
"WOHLWEND KE, 2017, EARLY YEARS, V37, P62, DOI 10.1080/09575146.2016.1219699",ROUTLEDGE JOURNALS
"WOHLWEND KE, 2017, EARLY YEARS, V37, P62, DOI 10.1080/09575146.2016.1219699", TAYLOR & FRANCIS LTD
"GORDON CS, 2017, BMC PUBLIC HEALTH, V17, DOI 10.1186/S12889-017-4031-3",BIOMED CENTRAL LTD
"HU TT, 2017, EUR J COMMUN, V32, P79, DOI 10.1177/0267323116687823",SAGE PUBLICATIONS LTD
"VELAZQUEZ I, 2017, INT J BILINGUAL, V21, P21, DOI 10.1177/1367006915596377",SAGE PUBLICATIONS LTD
"ROGERS A, 2017, INT REV EDUC, V63, P137, DOI 10.1007/S11159-016-9600-7",SPRINGER
"DUURSMA E, 2017, J CHILD FAM STUD, V26, P612, DOI 10.1007/S10826-016-0584-5",SPRINGER
"DANOV D, 2017, CHUZHDOEZIKOVO OBUC, V44, P42",NATSIONALNO IZDATELSTVO AZ BUKI
"OSMANCEVIC L, 2017, MEDIJSKE STUD, V8, P122",SVEUCILISTE & ZAGREBU
"OSMANCEVIC L, 2017, MEDIJSKE STUD, V8, P122", FAK POLITICKIH ZNANOSTI
"FIIALKA S, 2017, MEDIAOBRAZOVANIE, P7",UNESCO
"FIIALKA S, 2017, MEDIAOBRAZOVANIE, P7", MOSCOW OFFICE
