id,publisher,publisher_city,publisher_address
WILEY,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA"
SAGE PUBLICATIONS INC,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA"
PERGAMON-ELSEVIER SCIENCE LTD,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND"
PAMUKKALE UNIV,PAMUKKALE UNIV,DENIZLI,"CAMPUS INCILIPINAR, DENIZLI, 20020, TURKEY"
TAYLOR & FRANCIS INC,TAYLOR & FRANCIS INC,PHILADELPHIA,"530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA"
ISTANBUL KULTUR UNIV,ISTANBUL KULTUR UNIV,ISTANBUL,"ATAKOY CAMPUS, BAKIRKOY, ISTANBUL, 34156, TURKEY"
EDIT UM-EDICIONES UNIV MURCIA,EDIT UM-EDICIONES UNIV MURCIA,MURCIA,"EDIFICIO SAAVEDRA FAJARDO, C/O ACTOR ISIDORO MAIQUEZ 9, MURCIA, 30007,;   SPAIN"
UNIV SAO PAULO,UNIV SAO PAULO,SAO PAULO,"AV PROFESSOR LUCIANO GUALBERTO 315, BUTANTA, SAO PAULO, SP 05508-010,;   BRAZIL"
 FAC FILOSOFIA LETRAS & CIENCIAS HUMANAS, FAC FILOSOFIA LETRAS & CIENCIAS HUMANAS,SAO PAULO,"AV PROFESSOR LUCIANO GUALBERTO 315, BUTANTA, SAO PAULO, SP 05508-010,;   BRAZIL"
ARAB WORLD ENGLISH JOURNAL,ARAB WORLD ENGLISH JOURNAL,KUALA LUMPUR,"JALAN 34-24 WANGSA MAJU, KUALA LUMPUR, 53300, MALAYSIA"
UNIV POLITECNICA SALESIANA ECUADOR-SALESIAN POLYTECNIC UNIV,UNIV POLITECNICA SALESIANA ECUADOR-SALESIAN POLYTECNIC UNIV,CUENCA,"CALLE TURUHUAYO 3-69 & CALLE VIEJA, CUENCA, 00000, ECUADOR"
UNIV SEVILLA,UNIV SEVILLA,SEVILLE,"SECRETARIADO PUBLICACIONES, C/ PORVENIR, NO 27, SEVILLE, 41013, SPAIN"
 EDITORIAL, EDITORIAL,SEVILLE,"SECRETARIADO PUBLICACIONES, C/ PORVENIR, NO 27, SEVILLE, 41013, SPAIN"
UNIV ALICANTE,UNIV ALICANTE,ALICANTE,"APARTADO DE CORREOS 99, ALICANTE, 3080, SPAIN"
OXFORD UNIV PRESS,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND"
FRONTIERS MEDIA SA,FRONTIERS MEDIA SA,LAUSANNE,"PO BOX 110, EPFL INNOVATION PARK, BUILDING I, LAUSANNE, 1015,;   SWITZERLAND"
UNIV AUTONOMA ESTADO MEXICO,UNIV AUTONOMA ESTADO MEXICO,TOLUCA,"CIUDAD UNIVERSITARIA, TOLUCA, CP 50100, MEXICO"
UNIV SS CYRIL & METHODIUS TRNAVA,UNIV SS CYRIL & METHODIUS TRNAVA,TRNAVA,"NAMESTIE JOZEFA HERDU 2, TRNAVA, 91701, SLOVAKIA"
 FAC MASS MEDIA COMMUNICATION, FAC MASS MEDIA COMMUNICATION,TRNAVA,"NAMESTIE JOZEFA HERDU 2, TRNAVA, 91701, SLOVAKIA"
INTELLECT LTD,INTELLECT LTD,BRISTOL,"THE MILL, PARNALL RD, BRISTOL, BS16 3JG, ENGLAND"
LINKOEPING UNIV ELECTRONIC PRESS,LINKOEPING UNIV ELECTRONIC PRESS,LINKOEPING,"LINKOEPING UNIV, LINKOEPING, 58183, SWEDEN"
ELSEVIER SCIENCE BV,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS"
UTAH VALLEY UNIV,UTAH VALLEY UNIV,OREM,"800 W UNIVERSITY PKWY, OREM, UT 84058 USA"
SPRINGER,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS"
ROUTLEDGE JOURNALS,ROUTLEDGE JOURNALS,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND"
 TAYLOR & FRANCIS LTD, TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND"
BIOMED CENTRAL LTD,BIOMED CENTRAL LTD,LONDON,"236 GRAYS INN RD, FLOOR 6, LONDON WC1X 8HL, ENGLAND"
SAGE PUBLICATIONS LTD,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND"
SPRINGER,SPRINGER,NEW YORK,"233 SPRING ST, NEW YORK, NY 10013 USA"
NATSIONALNO IZDATELSTVO AZ BUKI,NATSIONALNO IZDATELSTVO AZ BUKI,SOFIA,"BUL TSARIGRADSKO SHOSE, 125, BL 5, SOFIA, 1113, BULGARIA"
SVEUCILISTE & ZAGREBU,SVEUCILISTE & ZAGREBU,ZAGREB,"LEPUSICEVA 6, ZAGREB, 10000, CROATIA"
 FAK POLITICKIH ZNANOSTI, FAK POLITICKIH ZNANOSTI,ZAGREB,"LEPUSICEVA 6, ZAGREB, 10000, CROATIA"
UNESCO,UNESCO,MOSCOW,"15-28 BOLSHOI LEVSHINSKY PER, BLD 2, MOSCOW, 119034, RUSSIA"
