id_paper0,id_paper1
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","ADICHIE CHIMAMANDA NGOZI, 2015, DANGER SINGLE STORY"
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","GOLDMAN SR, 2016, J ADOLESC ADULT LIT, V60, P255, DOI 10.1002/JAAL.586"
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","KENDI I.X., 2016, STAMPED BEGINNING DE"
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","MANDERINO M., 2012, 61 YB LITERACY RES A, P69"
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","MORRELL E., 2013, CRITICAL MEDIA PEDAG"
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","REINKING D., 2008, FORMATIVE DESIGN EXP"
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","SEIXAS PETER, 1993, HIST TEACHER, V26, P351, DOI DOI 10.2307/494666"
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","SHANAHAN C., 2016, HIST TEACHER, V49, P241"
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","WERDERICH DE, 2017, J ADOLESC ADULT LIT, V60, P537, DOI 10.1002/JAAL.584"
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","WICKENS CM, 2015, J ADOLESC ADULT LIT, V59, P75, DOI 10.1002/JAAL.429"
"HEPPELER J, 2018, J ADOLESC ADULT LIT, V61, P567, DOI 10.1002/JAAL.726","WINEBURG SS, 1991, J EDUC PSYCHOL, V83, P73, DOI 10.1037/0022-0663.83.1.73"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","ANTHONY SHAWN, 2008, HAND (N Y), V3, P30, DOI 10.1007/S11552-007-9052-4"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","BATTERHAM PJ, 2013, SUICIDE LIFE-THREAT, V43, P406, DOI 10.1111/SLTB.12026"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","BREIMAN L., 1984, CLASSIFICATION REGRE"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","BROWN SL, 2003, AM J COMMUN PSYCHOL, V32, P131, DOI 10.1023/A:1025659210192"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","CALEAR A, 2012, LITERACY SUICI UNPUB"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","CHINA INTERNET NETWORK INFORMATION CENTER, 2012, 2012 REP CHIN US US"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","CHRISTAKIS NA, 2013, STAT MED, V32, P556, DOI 10.1002/SIM.5408"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","FU KW, 2013, CRISIS, V34, P406, DOI 10.1027/0227-5910/A000221"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","GONG AT, 2014, PSYCH J, V3, P144, DOI 10.1002/PCHJ.55"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","JAVA A., 2007, P 9 WEBKDD 1 SNA KDD, P56, DOI DOI 10.1145/1348549.1348556"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","JORM AF, 2000, BRIT J PSYCHIAT, V177, P396, DOI 10.1192/BJP.177.5.396"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","KELLY CM, 2007, MED J AUSTRALIA, V187, PS26"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","KLEIMAN EM, 2013, J AFFECT DISORDERS, V150, P540, DOI 10.1016/J.JAD.2013.01.033"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","LANDIS JR, 1977, BIOMETRICS, V33, P159, DOI 10.2307/2529310"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","LARSEN ME, 2015, IEEE J BIOMED HEALTH, V19, P1246, DOI 10.1109/JBHI.2015.2403839"
"LI A, 2018, ASIA-PAC PSYCHIAT, V10, DOI 10.1111/APPY.12314","LI A, 2015, PEERJ, V3, DOI 10.7717/PEERJ.1209"
